Activity,Where we are,Where we want to be,OSS option,Azure option,Tradeoff,Recommendation
Dataset extraction,Data is queried from databases or downloaded from Blob and cached on local disk. Refreshes are manual and happen when someone remembers.,"Repeatable extraction jobs record the owner, schedule, query version, timestamp, source, row count, and checksum.",Python extraction jobs orchestrated with Prefect or Dagster.,Scheduled Azure ML pipeline or job reading from the database or Blob.,OSS is flexible but requires orchestration infrastructure; Azure ML reduces ops but creates Azure dependency and needs cloud-team provisioning.,Use scheduled Azure ML jobs for important datasets. Keep lightweight queries on demand initially.
Dataset versioning,"Datasets are saved on disk and are not versioned, so old training data may not be reproducible.",Every run references an immutable dataset version linked to its Git commit and MLflow run.,"DVC with an Azure Blob remote, or immutable Blob paths with manifest files.",Azure ML data assets pointing to immutable date- or hash-based Blob paths.,DVC is portable but adds another tool; Azure data assets integrate with Azure ML but a versioned reference is meaningless if files at the path are overwritten.,Use immutable Blob snapshots registered as Azure ML data assets. Never overwrite files at a versioned path.
Data validation,Validation occurs while processing data shortly before training.,"Reusable schema and quality checks run when a dataset is created and before training, and failures stop the pipeline.",Pandera or Great Expectations with reports logged to MLflow.,"Pandera or Great Expectations inside an Azure ML component, with reports stored in the self-hosted MLflow artifact store.",Great Expectations offers richer reports but more maintenance; Azure does not eliminate the need to define validation rules.,Start with Pandera checks in extraction and training jobs. Log reports to self-hosted MLflow 3. Adopt Great Expectations only if richer reporting becomes necessary.
Feature engineering,Preprocessing is rerun for training. Learned values such as means are saved and applied to production data.,One tested preprocessing pipeline is packaged with the model and used consistently in training and inference.,"Framework-native pipelines such as scikit-learn Pipeline, packaged as an MLflow model.",Azure ML reusable pipeline component plus an MLflow model registered in Azure ML.,A feature store adds complexity without a current reuse requirement; packaging transformations with the model is simpler and prevents skew but couples preprocessing to the model artifact.,Package preprocessing and learned parameters with the MLflow model. Do not introduce a feature store yet.
Model training,"CPU training runs on local machines or manually started Azure compute instances. GPU training is done manually via Azure ML compute instances, and models are downloaded by hand.",Conventional training runs locally for exploration or as a reproducible remote CPU job using a pinned environment and scale-to-zero compute; GPU and fine-tuning workloads are handled by a separate GPU compute profile.,Containerized training submitted to a VM or container worker.,Azure ML jobs on a CPU compute cluster with minimum nodes set to zero.,Local runs are fast for exploration; Azure jobs improve reproducibility but have startup time and require quota and infrastructure approval.,Keep local runs for exploration. Run candidate and conventional production training as Azure ML jobs on a scale-to-zero CPU cluster. Use a separate GPU compute profile for fine-tuning and multi-GPU experiments.
GPU model training / fine-tuning,GPU training and fine-tuning are done by manually creating compute instances in Azure ML. Models are trained interactively and then downloaded manually; runs are not logged to a shared registry and model lineage is implicit.,"GPU training and fine-tuning run as reproducible Azure ML jobs defined in Git, log parameters, metrics, and artifacts to the self-hosted MLflow server, and register the resulting model so deployments can resolve it by exact version instead of downloading files manually.","Containerized multi-GPU training on a VM or Kubernetes cluster using PyTorch DDP, DeepSpeed, or FSDP.",Optional separate Bicep module that attaches a GPU compute cluster to the existing Azure ML workspace; job definitions remain in Git.,"Raw VMs are flexible but require manual driver, NCCL, and scaling setup; Azure ML provides quota-managed, reproducible GPU jobs with environment and data integration.",Deploy the optional GPU compute module once GPU quota is approved. Run a multi-GPU fine-tuning POC as a Git-defined job that logs to self-hosted MLflow and registers the model. Stop manual downloads for production artifacts.
Compute provisioning,"Compute is started manually. A separate cloud team owns Azure infrastructure, so changes can be delayed.","Approved platform and compute profiles are provisioned through reusable infrastructure-as-code, allowing the ML team to operate MLflow and submit jobs without creating resources manually.",Terraform modules for container workers and self-hosted MLflow.,"Bicep or Terraform module for the MLflow Container App, PostgreSQL, Blob Storage, Key Vault, identities, networking, monitoring, Azure ML workspace, and a scale-to-zero CPU compute cluster. GPU compute is deployed through a separate optional module once quota is approved.","Infrastructure-as-code removes repeated tickets but self-hosted MLflow adds a control plane that the team must patch, back up, restore, and monitor.","Request one reusable platform module covering self-hosted MLflow 3, a scale-to-zero CPU compute profile, and an Azure ML workspace. Keep GPU compute in a separate optional module to avoid blocking core platform deployment on GPU quota."
Experiment tracking,"Git, configuration files, and Excel sheets provide partial tracking. MLflow is not currently used.","Every run records parameters, metrics, artifacts, environment, Git SHA, dataset version, prompt version, evaluation result, and LLM traces in MLflow 3.","MLflow 3 on Container Apps, PostgreSQL backend, and proxied Azure Blob artifact storage.",Azure ML managed MLflow is limited to older MLflow APIs; Azure Databricks offers managed MLflow 3 at higher platform cost.,"Self-hosting provides current MLflow tracking, evaluation, prompt, and tracing APIs but makes image upgrades, schema migrations, authentication, backup, restore, and monitoring the team's responsibility.",Self-host a pinned MLflow 3 image on Container Apps with PostgreSQL and proxied Blob artifacts. Assign an owner and test backup and upgrade procedures before onboarding projects.
Model registry,"Artifacts are packaged and copied manually, and deployment history is implicit.","Approved models are immutable, versioned, linked to their originating run, and promoted through a recorded approval.",MLflow 3 Model Registry with aliases such as candidate staging and champion.,"Azure ML model versions and tags, or Databricks Unity Catalog.","Aliases are convenient mutable pointers but do not enforce approval themselves; one shared registry also increases the blast radius of accidental changes.",Register only models that pass evaluation. Allow only CI to move protected aliases after GitHub Environment approval and deploy the exact resolved model version recorded in the release manifest.
Model evaluation,"Backtesting uses normal dataset splits. Smoke examples live in Excel, and review decisions are made in Zoom.","Evaluation is executable, versioned, and repeatable. Thresholds block regressions and qualitative approval is recorded.",pytest and custom evaluation code with results logged to MLflow.,"Azure ML evaluation job triggered by GitHub Actions, with reports logged to managed MLflow.",Automation requires converting Excel cases into machine-readable data; human review remains necessary but the decision and evidence become auditable.,"Run a small suite on pull requests, a full suite before production, and record a human approval."
