"Phase","Week","Workstream","Task","Owner","Deliverable","Done criteria"
"Phase 0: Foundation","Week 1","Scope and capacity","Select a conventional ML pilot and an LLM batch pilot; record team allocation, current baselines, batch completion window, and Azure OpenAI RPM/TPM quota","ML lead","Pilot charter and capacity model","Owners, weekly hours, baseline measures, processing SLA, p95 tokens per document, required RPM/TPM, and success metrics are approved"
"Phase 0: Foundation","Week 1","Infrastructure request","Submit one infrastructure-as-code request for the MLflow Container App, PostgreSQL, Blob artifact container, Key Vault, Entra application, network, ACR permissions, Azure ML compute, Container Apps workers, Redis container, and monitoring","ML lead","Filed ticket with full resource and RBAC list","Ticket is acknowledged with an ETA and no later phase depends on an unrequested resource"
"Phase 0: Foundation","Weeks 1-2","MLflow platform","Build a pinned custom MLflow 3 image with PostgreSQL and Azure Blob dependencies; deploy it to Container Apps with one minimum replica","Platform engineer","Versioned MLflow image and deployment definition","Image is referenced by digest, health checks pass, the version endpoint is monitored, and local and Azure ML clients can log a test run"
"Phase 0: Foundation","Weeks 1-2","MLflow storage","Configure Azure Database for PostgreSQL as the backend and Blob through MLflow's artifact proxy; enable PostgreSQL point-in-time restore and Blob soft delete","Platform engineer","Durable metadata and artifact stores","Runs, models, prompts, traces, and artifacts survive a Container App replacement and clients require no direct Blob credentials"
"Phase 0: Foundation","Weeks 1-2","MLflow security","Protect the MLflow UI and API with Entra ID for users and workload identities; store required secrets in Key Vault","Platform engineer","Authenticated MLflow endpoint","All unauthenticated requests fail; five team members, GitHub Actions, local clients, and Azure ML jobs have least-privilege tested access"
"Phase 0: Foundation","Week 2","MLflow operations","Create backup, restore, upgrade, database migration, and rollback runbooks; assign a named platform owner and deputy","Platform engineer","MLflow operations runbook","A point-in-time database restore and artifact read are tested; a pre-migration backup and rollback procedure are demonstrated in test"
"Phase 0: Foundation","Week 2","Experiment tracking","Add MLflow 3 logging for Git SHA, dataset version, parameters, metrics, artifacts, environment, and lineage to the conventional ML pilot","1 engineer","Instrumented training script","A local and remote training run records all required lineage in the self-hosted server"
"Phase 0: Foundation","Week 2","Evaluation dataset","Convert redacted or synthetic Excel smoke-test cases into JSONL or CSV under version control; keep sensitive cases in a versioned Blob data asset","1 engineer","Versioned smoke-test dataset","Dataset has a schema and at least 10 cases, with data classification and storage location documented"
"Phase 0: Foundation","Week 2","Prompt registry","Extract prompts into Git files and register the reviewed content as immutable MLflow prompt versions","1 engineer","Git prompt source and MLflow prompt versions","Each prompt version links to its Git SHA and can be resolved by exact version and candidate alias"
"Phase 0: Foundation","Week 2","Release policy","Define Gitflow branch policy and a release manifest covering code SHA, dataset, image digest, exact model and prompt versions, task contract, queue, configuration, and approver","ML lead","Branch and artifact promotion policy","The team agrees that branches govern code while MLflow aliases and manifests govern artifact promotion"
"Phase 1: Repeatable delivery","Week 3","Data validation","Add Pandera schema and quality checks to extraction and training; log reports to MLflow","1 engineer","Pandera checks in pipeline","Checks run on dataset creation and before training, failures stop the pipeline, and reports are visible in MLflow"
